,Paris,Marseille,Lyon,Toulouse,Nice,Nantes,Strasbourg,Montpellier,Bordeaux,Rennes
Paris,0,775147,465838,679426,932197,385168,491901,747845,584537,354713
Marseille,774927,0,313685,402891,199463,985435,798380,170370,645148,1051571
Lyon,466053,314190,0,537075,471240,685227,487680,304554,555681,742444
Toulouse,678904,403446,537518,0,560496,584963,968785,242511,244676,703761
Nice,932341,204861,471099,560305,0,1142850,784866,327784,802563,1208986
Nantes,384542,985868,685084,585999,1142918,0,865808,824934,346928,113063
Strasbourg,490232,799552,492813,970962,784275,865646,0,789916,968927,835191
Montpellier,747998,169037,303110,242383,326087,824928,787805,0,484641,917787
Bordeaux,590492,645494,555983,245625,802545,353408,968338,484560,0,472206
Rennes,349310,1046616,738598,699146,1203666,106739,830577,912468,460075,0
